"filename", "language", "CSS", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"/Users/petetreadaway/Projects/ionic/tutorial-photo-gallery-react/src/App.test.tsx", "TypeScript JSX", 0, 7, 0, 0, 2, 9
"/Users/petetreadaway/Projects/ionic/tutorial-photo-gallery-react/src/App.tsx", "TypeScript JSX", 0, 80, 0, 4, 8, 92
"/Users/petetreadaway/Projects/ionic/tutorial-photo-gallery-react/src/components/ExploreContainer.css", "CSS", 21, 0, 0, 0, 3, 24
"/Users/petetreadaway/Projects/ionic/tutorial-photo-gallery-react/src/components/ExploreContainer.tsx", "TypeScript JSX", 0, 13, 0, 0, 4, 17
"/Users/petetreadaway/Projects/ionic/tutorial-photo-gallery-react/src/contexts/PhotoGalleryContext.tsx", "TypeScript JSX", 0, 39, 0, 0, 7, 46
"/Users/petetreadaway/Projects/ionic/tutorial-photo-gallery-react/src/hooks/useBarcodeScanner.ts", "TypeScript", 0, 0, 43, 6, 8, 57
"/Users/petetreadaway/Projects/ionic/tutorial-photo-gallery-react/src/hooks/usePhotoGallery.ts", "TypeScript", 0, 0, 240, 47, 59, 346
"/Users/petetreadaway/Projects/ionic/tutorial-photo-gallery-react/src/main.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 12
"/Users/petetreadaway/Projects/ionic/tutorial-photo-gallery-react/src/pages/CropPage.tsx", "TypeScript JSX", 0, 171, 0, 8, 15, 194
"/Users/petetreadaway/Projects/ionic/tutorial-photo-gallery-react/src/pages/Tab1.css", "CSS", 15, 0, 0, 5, 3, 23
"/Users/petetreadaway/Projects/ionic/tutorial-photo-gallery-react/src/pages/Tab1.tsx", "TypeScript JSX", 0, 136, 0, 9, 13, 158
"/Users/petetreadaway/Projects/ionic/tutorial-photo-gallery-react/src/pages/Tab2.css", "CSS", 59, 0, 0, 1, 9, 69
"/Users/petetreadaway/Projects/ionic/tutorial-photo-gallery-react/src/pages/Tab2.tsx", "TypeScript JSX", 0, 94, 0, 12, 16, 122
"/Users/petetreadaway/Projects/ionic/tutorial-photo-gallery-react/src/pages/Tab3.css", "CSS", 0, 0, 0, 0, 1, 1
"/Users/petetreadaway/Projects/ionic/tutorial-photo-gallery-react/src/pages/Tab3.tsx", "TypeScript JSX", 0, 227, 0, 9, 28, 264
"/Users/petetreadaway/Projects/ionic/tutorial-photo-gallery-react/src/pages/Tab4.css", "CSS", 41, 0, 0, 0, 9, 50
"/Users/petetreadaway/Projects/ionic/tutorial-photo-gallery-react/src/pages/Tab4.tsx", "TypeScript JSX", 0, 104, 0, 1, 10, 115
"/Users/petetreadaway/Projects/ionic/tutorial-photo-gallery-react/src/setupTests.ts", "TypeScript", 0, 0, 8, 5, 2, 15
"/Users/petetreadaway/Projects/ionic/tutorial-photo-gallery-react/src/theme/variables.css", "CSS", 176, 0, 0, 24, 37, 237
"/Users/petetreadaway/Projects/ionic/tutorial-photo-gallery-react/src/types/photoTypes.ts", "TypeScript", 0, 0, 22, 1, 4, 27
"/Users/petetreadaway/Projects/ionic/tutorial-photo-gallery-react/src/utils/cropImage.ts", "TypeScript", 0, 0, 45, 18, 12, 75
"/Users/petetreadaway/Projects/ionic/tutorial-photo-gallery-react/src/utils/fileUtils.ts", "TypeScript", 0, 0, 82, 19, 13, 114
"/Users/petetreadaway/Projects/ionic/tutorial-photo-gallery-react/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 1, 1, 2
"Total", "-", 312, 883, 440, 170, 264, 2069
